respondent_id,origin_country,destination_country,migration_reason,migration_type,age_group,gender,education_level,year_of_migration,marital_status,monthly_income_usd,sends_remittance
891,Pakistan,Japan,Employment,Work,55+,Male,PhD,2005,Divorced,1224,Yes
892,India,New Zealand,Business/Investment,Work,45-54,Male,Bachelor's,2018,Single,1095,Yes
893,Pakistan,Canada,Employment,Work,35-44,Male,Secondary,2025,Married,987,No
894,India,Australia,Refugee/Asylum,Permanent,45-54,Male,Master's,2021,Single,1537,Yes
895,Nepal,Malaysia,Family Reunification,Permanent,45-54,Male,Master's,2021,Divorced,3465,Yes
896,Sri Lanka,Canada,Higher Education,Permanent,35-44,Male,Secondary,2005,Married,711,Yes
897,Nepal,United States,Permanent Residency,Permanent,35-44,Male,Bachelor's,2003,Married,319,No
898,Nepal,South Korea,Employment,Work,25-34,Male,Vocational/Technical,2015,Single,11221,No
899,Nepal,United States,Permanent Residency,Permanent,18-24,Male,Bachelor's,2017,Divorced,214,Yes
900,Nepal,South Korea,Higher Education,Permanent,25-34,Male,Bachelor's,2015,Married,956,Yes
901,Nepal,Kuwait,Economic Hardship,Permanent,55+,Male,PhD,2019,Single,1906,Yes
902,Pakistan,UAE,Permanent Residency,Permanent,35-44,Male,Vocational/Technical,2021,Divorced,1200,Yes
903,Nepal,Kuwait,Higher Education,Permanent,25-34,Male,Secondary,2007,Single,892,Yes
904,Bangladesh,New Zealand,Employment,Work,25-34,Male,Bachelor's,2021,Single,3279,No
905,Nepal,Canada,Better Quality of Life,Permanent,35-44,Male,Primary,2011,Divorced,1984,Yes
906,Sri Lanka,Kuwait,Skilled Worker Visa,Work,35-44,Male,PhD,2020,Divorced,837,No
907,Pakistan,Saudi Arabia,Employment,Work,18-24,Male,Vocational/Technical,2023,Married,520,Yes
908,Pakistan,Qatar,Economic Hardship,Permanent,25-34,Male,Primary,2006,Divorced,11140,Yes
909,Pakistan,United States,Family Reunification,Permanent,45-54,Male,Bachelor's,2015,Married,1149,Yes
910,Bangladesh,Italy,Family Reunification,Permanent,25-34,Male,Secondary,2012,Divorced,1308,Yes
911,Sri Lanka,Kuwait,Business/Investment,Work,35-44,Male,Master's,2025,Divorced,965,Yes
912,Bangladesh,Japan,Employment,Work,35-44,Male,Vocational/Technical,2023,Married,1210,Yes
913,India,Qatar,Higher Education,Permanent,25-34,Male,Vocational/Technical,2008,Single,240,Yes
914,Sri Lanka,Germany,Refugee/Asylum,Permanent,25-34,Female,Bachelor's,2022,Married,1428,Yes
915,Sri Lanka,Canada,Better Quality of Life,Permanent,35-44,Female,Bachelor's,2025,Single,514,Yes
916,Sri Lanka,Oman,Employment,Work,18-24,Male,Vocational/Technical,2015,Divorced,2134,Yes
917,Pakistan,Malaysia,Refugee/Asylum,Permanent,18-24,Male,PhD,2007,Divorced,1659,No
918,Pakistan,Germany,Business/Investment,Work,35-44,Male,Bachelor's,2019,Married,1275,Yes
919,Nepal,Oman,Employment,Work,25-34,Male,Bachelor's,2018,Married,1243,Yes
920,Bangladesh,Germany,Family Reunification,Permanent,18-24,Male,Bachelor's,2018,Single,3477,Yes
921,Pakistan,Italy,Marriage/Spouse,Permanent,55+,Female,Master's,2020,Divorced,955,Yes
922,India,Canada,Higher Education,Permanent,35-44,Male,Master's,2017,Divorced,243,Yes
923,India,UAE,Employment,Work,55+,Male,Vocational/Technical,2020,Married,441,Yes
924,Bangladesh,UAE,Skilled Worker Visa,Work,45-54,Male,Secondary,2016,Single,1028,Yes
925,India,Kuwait,Skilled Worker Visa,Work,25-34,Male,Secondary,2013,Divorced,1748,Yes
926,Pakistan,Malaysia,Family Reunification,Permanent,18-24,Female,Master's,2015,Single,682,No
927,Bangladesh,Canada,Employment,Work,25-34,Male,Vocational/Technical,2007,Married,2498,Yes
928,Nepal,Japan,Higher Education,Permanent,25-34,Female,Secondary,2011,Married,1829,No
929,Sri Lanka,South Korea,Permanent Residency,Permanent,55+,Female,Primary,2024,Married,953,Yes
930,India,New Zealand,Family Reunification,Permanent,18-24,Male,Secondary,2007,Single,929,Yes
931,Sri Lanka,Italy,Employment,Work,25-34,Male,Vocational/Technical,2025,Divorced,2226,Yes
932,Pakistan,UAE,Skilled Worker Visa,Work,35-44,Male,Master's,2018,Married,220,Yes
933,Pakistan,Kuwait,Permanent Residency,Permanent,18-24,Male,Secondary,2024,Single,837,Yes
934,India,Saudi Arabia,Refugee/Asylum,Permanent,55+,Male,Vocational/Technical,2003,Single,2713,Yes
935,Nepal,Qatar,Skilled Worker Visa,Work,25-34,Male,Bachelor's,2018,Single,1124,Yes
936,India,Oman,Marriage/Spouse,Permanent,18-24,Male,Vocational/Technical,2023,Divorced,9770,Yes
937,India,United Kingdom,Family Reunification,Permanent,25-34,Female,Vocational/Technical,2016,Married,1442,Yes
938,Sri Lanka,Australia,Family Reunification,Permanent,18-24,Male,Vocational/Technical,2007,Divorced,525,No
939,Pakistan,France,Family Reunification,Permanent,35-44,Male,Vocational/Technical,2022,Divorced,265,Yes
940,India,UAE,Skilled Worker Visa,Work,35-44,Male,Secondary,2012,Single,6590,Yes
941,Bangladesh,Australia,Marriage/Spouse,Permanent,25-34,Female,Primary,2012,Married,1269,No
942,Nepal,Norway,Employment,Work,25-34,Female,Secondary,2022,Single,2436,Yes
943,Nepal,United States,Better Quality of Life,Permanent,18-24,Female,Bachelor's,2007,Divorced,516,Yes
944,India,Italy,Family Reunification,Permanent,25-34,Male,Primary,2020,Single,435,Yes
945,Pakistan,Malaysia,Permanent Residency,Permanent,25-34,Male,Primary,2011,Married,647,Yes
946,Sri Lanka,United Kingdom,Higher Education,Permanent,45-54,Female,Primary,2025,Single,3513,Yes
947,India,Australia,Employment,Work,45-54,Female,Vocational/Technical,2016,Married,776,Yes
948,Pakistan,Malaysia,Employment,Work,18-24,Female,Secondary,2025,Married,482,Yes
949,India,Italy,Higher Education,Permanent,25-34,Male,Master's,2025,Married,1011,Yes
950,Nepal,Saudi Arabia,Family Reunification,Permanent,45-54,Female,PhD,2025,Married,4671,Yes
951,Pakistan,Germany,Skilled Worker Visa,Work,35-44,Male,Secondary,2004,Divorced,3240,Yes
952,Bangladesh,Kuwait,Employment,Work,18-24,Female,PhD,2018,Married,224,No
953,Nepal,Canada,Family Reunification,Permanent,25-34,Female,Vocational/Technical,2023,Married,3327,Yes
954,Bangladesh,Norway,Employment,Work,18-24,Female,Secondary,2016,Divorced,548,Yes
955,Pakistan,Oman,Business/Investment,Work,25-34,Male,Secondary,2022,Divorced,3452,Yes
956,Bangladesh,Saudi Arabia,Employment,Work,35-44,Male,Primary,2015,Married,925,Yes
957,Nepal,Germany,Refugee/Asylum,Permanent,35-44,Female,Secondary,2005,Single,571,Yes
958,Nepal,Italy,Permanent Residency,Permanent,55+,Male,Primary,2025,Single,3715,Yes
959,Pakistan,Saudi Arabia,Employment,Work,25-34,Male,Vocational/Technical,2012,Divorced,491,Yes
960,Bangladesh,Malaysia,Permanent Residency,Permanent,35-44,Female,Secondary,2025,Divorced,358,No
961,India,Canada,Skilled Worker Visa,Work,25-34,Female,Secondary,2015,Divorced,937,Yes
962,Bangladesh,United Kingdom,Refugee/Asylum,Permanent,18-24,Male,Master's,2025,Divorced,964,Yes
963,Pakistan,Italy,Permanent Residency,Permanent,25-34,Female,Secondary,2024,Married,5930,No
964,Nepal,South Korea,Permanent Residency,Permanent,18-24,Male,Bachelor's,2018,Married,455,No
965,Sri Lanka,Australia,Family Reunification,Permanent,35-44,Female,Primary,2011,Married,11397,No
966,India,France,Economic Hardship,Permanent,35-44,Female,Secondary,2021,Married,361,Yes
967,Bangladesh,France,Economic Hardship,Permanent,25-34,Male,Primary,2022,Divorced,206,Yes
968,Bangladesh,South Korea,Refugee/Asylum,Permanent,55+,Female,Bachelor's,2020,Divorced,1064,No
969,Pakistan,Norway,Healthcare,Permanent,35-44,Female,PhD,2017,Divorced,519,No
970,Sri Lanka,United States,Permanent Residency,Permanent,25-34,Female,Bachelor's,2019,Divorced,1568,No
971,Nepal,New Zealand,Family Reunification,Permanent,35-44,Male,Bachelor's,2014,Single,5407,Yes
972,Nepal,United States,Family Reunification,Permanent,25-34,Male,Bachelor's,2025,Single,1365,No
973,Bangladesh,United States,Family Reunification,Permanent,55+,Female,Bachelor's,2004,Married,296,Yes
974,Sri Lanka,France,Permanent Residency,Permanent,45-54,Male,Secondary,2011,Divorced,1724,Yes
975,India,Saudi Arabia,Employment,Work,55+,Male,Master's,2006,Divorced,1090,Yes
976,Bangladesh,Italy,Business/Investment,Work,25-34,Male,Secondary,2022,Married,1401,No
977,India,UAE,Marriage/Spouse,Permanent,55+,Male,Secondary,2005,Married,4625,Yes
978,Pakistan,Kuwait,Skilled Worker Visa,Work,18-24,Male,PhD,2022,Divorced,1013,Yes
979,Bangladesh,Italy,Higher Education,Permanent,45-54,Male,Master's,2013,Divorced,586,Yes
980,Pakistan,Australia,Family Reunification,Permanent,55+,Male,Bachelor's,2020,Divorced,789,Yes
981,Nepal,Canada,Permanent Residency,Permanent,18-24,Male,Bachelor's,2011,Married,2325,No
982,Sri Lanka,Canada,Permanent Residency,Permanent,35-44,Female,Master's,2022,Single,789,Yes
983,Nepal,Canada,Business/Investment,Work,25-34,Female,Secondary,2025,Single,698,Yes
984,Nepal,Malaysia,Economic Hardship,Permanent,45-54,Male,Bachelor's,2014,Single,367,Yes
985,Bangladesh,Kuwait,Skilled Worker Visa,Work,25-34,Male,Master's,2017,Single,263,Yes
986,Pakistan,Canada,Higher Education,Permanent,25-34,Male,Master's,2020,Single,886,Yes
987,Pakistan,Australia,Permanent Residency,Permanent,18-24,Female,Secondary,2016,Single,3049,Yes
988,Sri Lanka,Japan,Family Reunification,Permanent,55+,Male,PhD,2010,Divorced,769,Yes
989,Bangladesh,South Korea,Employment,Work,35-44,Male,Bachelor's,2008,Single,499,No
990,Sri Lanka,South Korea,Higher Education,Permanent,25-34,Male,PhD,2023,Divorced,350,Yes
991,Bangladesh,Australia,Permanent Residency,Permanent,18-24,Male,Bachelor's,2014,Single,523,Yes
992,Pakistan,Germany,Family Reunification,Permanent,45-54,Female,Bachelor's,2019,Divorced,1065,Yes
993,India,United States,Employment,Work,25-34,Female,Vocational/Technical,2002,Married,872,Yes
994,Nepal,Germany,Business/Investment,Work,45-54,Female,Primary,2006,Single,304,Yes
995,Bangladesh,Germany,Higher Education,Permanent,35-44,Male,Secondary,2010,Single,872,Yes
996,Bangladesh,United States,Marriage/Spouse,Permanent,35-44,Female,Vocational/Technical,2006,Single,3391,Yes
997,Nepal,UAE,Political Instability,Permanent,25-34,Male,Master's,2013,Divorced,1688,Yes
998,Pakistan,Saudi Arabia,Skilled Worker Visa,Work,35-44,Male,Bachelor's,2021,Single,274,No
999,Sri Lanka,United Kingdom,Employment,Work,25-34,Female,Master's,2005,Divorced,287,No
1000,India,Canada,Employment,Work,55+,Male,Bachelor's,2017,Married,468,Yes
1001,Sri Lanka,UAE,Employment,Work,55+,Male,Bachelor's,2005,Single,267,Yes
1002,Sri Lanka,New Zealand,Permanent Residency,Permanent,25-34,Male,Master's,2016,Single,309,Yes
1003,India,Kuwait,Skilled Worker Visa,Work,35-44,Male,Master's,2014,Single,1318,Yes
1004,Pakistan,Oman,Higher Education,Permanent,18-24,Female,Secondary,2011,Single,781,Yes
1005,Pakistan,France,Higher Education,Permanent,18-24,Male,Master's,2021,Single,398,No
1006,Pakistan,Canada,Business/Investment,Work,25-34,Female,Primary,2011,Divorced,375,Yes
1007,India,Qatar,Employment,Work,25-34,Male,Master's,2008,Married,10869,Yes
1008,Bangladesh,Qatar,Employment,Work,35-44,Male,Secondary,2021,Single,312,Yes
1009,India,United Kingdom,Family Reunification,Permanent,35-44,Male,Vocational/Technical,2014,Married,966,No
1010,Bangladesh,Italy,Skilled Worker Visa,Work,45-54,Male,Vocational/Technical,2018,Married,285,No
1011,India,Qatar,Skilled Worker Visa,Work,25-34,Male,PhD,2015,Married,429,Yes
1012,Bangladesh,Italy,Higher Education,Permanent,25-34,Male,Master's,2007,Single,971,Yes
1013,Pakistan,New Zealand,Higher Education,Permanent,35-44,Male,Master's,2011,Single,2377,Yes
1014,Sri Lanka,Qatar,Business/Investment,Work,25-34,Male,PhD,2025,Divorced,11619,Yes
1015,Sri Lanka,United Kingdom,Economic Hardship,Permanent,18-24,Male,PhD,2022,Single,420,Yes
1016,Pakistan,Norway,Skilled Worker Visa,Work,35-44,Male,Bachelor's,2009,Married,446,Yes
1017,Pakistan,United States,Marriage/Spouse,Permanent,35-44,Female,Bachelor's,2016,Single,2976,Yes
1018,Nepal,Germany,Skilled Worker Visa,Work,45-54,Male,Bachelor's,2020,Married,2027,Yes
1019,Sri Lanka,Kuwait,Skilled Worker Visa,Work,45-54,Male,Bachelor's,2017,Married,1144,Yes
1020,Bangladesh,France,Refugee/Asylum,Permanent,25-34,Female,Bachelor's,2021,Single,2304,Yes
1021,India,UAE,Skilled Worker Visa,Work,55+,Male,Primary,2019,Single,3048,No
1022,Pakistan,Norway,Employment,Work,55+,Male,Secondary,2022,Married,840,Yes
1023,Nepal,Germany,Employment,Work,45-54,Female,PhD,2019,Married,558,Yes
1024,Sri Lanka,Malaysia,Economic Hardship,Permanent,35-44,Female,Secondary,2008,Married,10338,Yes
1025,Bangladesh,Germany,Employment,Work,25-34,Male,Secondary,2012,Divorced,1415,No
1026,Pakistan,Kuwait,Employment,Work,25-34,Male,Vocational/Technical,2023,Married,5823,Yes
1027,India,United States,Family Reunification,Permanent,35-44,Female,Secondary,2024,Married,272,Yes
1028,Bangladesh,Saudi Arabia,Skilled Worker Visa,Work,18-24,Male,Secondary,2024,Married,7993,Yes
1029,Pakistan,Norway,Skilled Worker Visa,Work,35-44,Male,Secondary,2021,Single,340,Yes
1030,Nepal,Japan,Business/Investment,Work,45-54,Female,Primary,2014,Divorced,1152,No
1031,Pakistan,United Kingdom,Skilled Worker Visa,Work,25-34,Male,Bachelor's,2006,Divorced,784,Yes
1032,Pakistan,Kuwait,Skilled Worker Visa,Work,25-34,Male,Bachelor's,2020,Divorced,218,Yes
1033,Pakistan,Australia,Higher Education,Permanent,35-44,Male,Master's,2009,Married,2857,Yes
1034,Bangladesh,Oman,Employment,Work,25-34,Male,Secondary,2018,Divorced,380,Yes
1035,India,Germany,Employment,Work,55+,Female,Secondary,2022,Married,411,Yes
1036,Sri Lanka,UAE,Marriage/Spouse,Permanent,35-44,Male,Master's,2023,Divorced,3240,Yes
1037,India,United States,Better Quality of Life,Permanent,25-34,Female,Bachelor's,2021,Married,406,No
1038,Sri Lanka,Saudi Arabia,Skilled Worker Visa,Work,35-44,Female,Primary,2014,Divorced,2170,No
1039,India,Italy,Business/Investment,Work,35-44,Male,Bachelor's,2011,Married,448,No
1040,Pakistan,Italy,Skilled Worker Visa,Work,45-54,Female,Bachelor's,2000,Single,489,Yes
1041,India,Saudi Arabia,Skilled Worker Visa,Work,45-54,Male,Bachelor's,2020,Married,249,No
1042,India,Saudi Arabia,Economic Hardship,Permanent,35-44,Male,Master's,2017,Divorced,619,Yes
1043,Bangladesh,Saudi Arabia,Marriage/Spouse,Permanent,35-44,Male,Secondary,2016,Married,795,Yes
1044,India,UAE,Better Quality of Life,Permanent,45-54,Male,PhD,2007,Single,289,Yes
1045,Nepal,France,Employment,Work,35-44,Female,Secondary,2012,Single,1991,No
1046,Sri Lanka,Italy,Employment,Work,25-34,Female,Secondary,2014,Married,1168,Yes
1047,Bangladesh,UAE,Higher Education,Permanent,35-44,Male,Primary,2022,Single,9674,No
1048,Sri Lanka,Kuwait,Skilled Worker Visa,Work,25-34,Male,Master's,2017,Single,1458,Yes
1049,Nepal,Canada,Better Quality of Life,Permanent,45-54,Male,Master's,2023,Divorced,2033,No
1050,Bangladesh,Japan,Permanent Residency,Permanent,35-44,Male,Primary,2008,Married,872,Yes
1051,Sri Lanka,Malaysia,Higher Education,Permanent,55+,Male,Secondary,2013,Single,775,Yes
1052,Nepal,New Zealand,Family Reunification,Permanent,25-34,Male,Bachelor's,2011,Married,3322,Yes
1053,Nepal,United Kingdom,Family Reunification,Permanent,35-44,Male,PhD,2025,Single,1174,Yes
1054,Nepal,Australia,Marriage/Spouse,Permanent,18-24,Male,PhD,2018,Divorced,1457,No
1055,Nepal,Germany,Higher Education,Permanent,25-34,Male,Secondary,2021,Divorced,3481,Yes
1056,Sri Lanka,Norway,Refugee/Asylum,Permanent,25-34,Female,Primary,2017,Divorced,770,Yes
1057,Sri Lanka,New Zealand,Family Reunification,Permanent,35-44,Male,Master's,2015,Married,313,Yes
1058,India,South Korea,Marriage/Spouse,Permanent,18-24,Male,Primary,2014,Single,347,Yes
1059,Bangladesh,United Kingdom,Employment,Work,55+,Male,Primary,2007,Divorced,848,No
1060,India,Kuwait,Employment,Work,45-54,Male,Secondary,2025,Divorced,1114,Yes
1061,Pakistan,Oman,Permanent Residency,Permanent,55+,Male,Bachelor's,2006,Single,338,Yes
1062,Bangladesh,France,Skilled Worker Visa,Work,25-34,Male,Bachelor's,2020,Married,3297,Yes
1063,Sri Lanka,UAE,Skilled Worker Visa,Work,45-54,Male,Bachelor's,2005,Married,4608,Yes
1064,Pakistan,United States,Skilled Worker Visa,Work,25-34,Male,Bachelor's,2020,Married,8442,Yes
1065,Nepal,Italy,Business/Investment,Work,35-44,Male,Bachelor's,2013,Divorced,567,Yes
1066,Pakistan,Oman,Economic Hardship,Permanent,25-34,Male,Secondary,2017,Married,2429,Yes
1067,India,United States,Family Reunification,Permanent,45-54,Male,Bachelor's,2020,Single,647,Yes
1068,Bangladesh,Italy,Healthcare,Permanent,35-44,Male,Master's,2024,Single,225,Yes
1069,Bangladesh,Oman,Skilled Worker Visa,Work,35-44,Male,Bachelor's,2016,Married,310,Yes
1070,Pakistan,Kuwait,Business/Investment,Work,45-54,Male,PhD,2002,Single,1245,Yes
1071,Bangladesh,Germany,Economic Hardship,Permanent,18-24,Male,Secondary,2017,Single,1382,Yes
1072,Pakistan,Saudi Arabia,Business/Investment,Work,25-34,Male,Primary,2016,Single,5010,Yes
1073,Sri Lanka,Norway,Political Instability,Permanent,25-34,Female,Vocational/Technical,2010,Divorced,1277,Yes
1074,India,Kuwait,Employment,Work,25-34,Male,Master's,2022,Single,1953,Yes
1075,Pakistan,United States,Family Reunification,Permanent,35-44,Male,PhD,2023,Single,3910,Yes
1076,Pakistan,New Zealand,Higher Education,Permanent,25-34,Male,Vocational/Technical,2017,Divorced,1910,Yes
1077,Sri Lanka,Germany,Family Reunification,Permanent,18-24,Male,Master's,2021,Married,334,No
1078,Pakistan,Kuwait,Employment,Work,25-34,Male,Primary,2019,Divorced,2413,Yes
1079,Nepal,Qatar,Employment,Work,25-34,Male,Primary,2023,Divorced,583,Yes
1080,Pakistan,Saudi Arabia,Employment,Work,18-24,Female,Bachelor's,2021,Single,6019,No
1081,Pakistan,Qatar,Employment,Work,45-54,Male,Secondary,2025,Married,922,Yes
1082,India,Germany,Skilled Worker Visa,Work,25-34,Female,Master's,2021,Single,455,Yes
1083,India,Kuwait,Skilled Worker Visa,Work,55+,Male,Master's,2020,Married,2182,No
1084,Bangladesh,Saudi Arabia,Employment,Work,35-44,Male,Bachelor's,2006,Single,1284,Yes
1085,Pakistan,United States,Permanent Residency,Permanent,35-44,Female,Secondary,2022,Single,379,Yes
1086,Nepal,Norway,Employment,Work,25-34,Female,PhD,2006,Single,415,Yes
1087,India,Saudi Arabia,Employment,Work,25-34,Male,Bachelor's,2006,Married,2006,No
1088,Sri Lanka,New Zealand,Higher Education,Permanent,45-54,Male,Master's,2006,Single,354,No
1089,Pakistan,France,Higher Education,Permanent,55+,Female,Vocational/Technical,2018,Married,886,Yes
1090,Sri Lanka,Japan,Skilled Worker Visa,Work,25-34,Female,Vocational/Technical,2018,Divorced,1398,Yes
1091,India,Australia,Refugee/Asylum,Permanent,35-44,Female,Bachelor's,2018,Divorced,11670,No
1092,Nepal,Norway,Higher Education,Permanent,45-54,Male,Secondary,2010,Single,272,No
1093,Pakistan,Oman,Healthcare,Permanent,25-34,Male,Bachelor's,2018,Single,6168,Yes
1094,India,Qatar,Family Reunification,Permanent,25-34,Male,Bachelor's,2017,Married,2574,Yes
1095,Nepal,United States,Permanent Residency,Permanent,18-24,Male,Bachelor's,2023,Divorced,467,Yes
1096,Pakistan,Norway,Higher Education,Permanent,25-34,Female,PhD,2003,Single,297,Yes
1097,Nepal,Germany,Family Reunification,Permanent,35-44,Female,Bachelor's,2025,Married,733,Yes
1098,Sri Lanka,UAE,Employment,Work,25-34,Male,Master's,2018,Married,872,Yes
1099,Pakistan,United States,Permanent Residency,Permanent,18-24,Female,Bachelor's,2021,Single,512,Yes
1100,Nepal,South Korea,Marriage/Spouse,Permanent,18-24,Male,Vocational/Technical,2019,Single,287,Yes
1101,India,South Korea,Higher Education,Permanent,25-34,Male,PhD,2023,Single,1576,Yes
1102,Pakistan,Saudi Arabia,Business/Investment,Work,45-54,Female,Vocational/Technical,2010,Single,481,No
1103,Pakistan,Japan,Employment,Work,35-44,Male,Vocational/Technical,2016,Single,11577,Yes
1104,Pakistan,United States,Marriage/Spouse,Permanent,25-34,Female,Primary,2019,Married,235,Yes
1105,Nepal,New Zealand,Higher Education,Permanent,25-34,Male,Master's,2017,Single,2284,Yes
1106,India,Saudi Arabia,Employment,Work,18-24,Male,Vocational/Technical,2018,Married,571,Yes
1107,Sri Lanka,Malaysia,Family Reunification,Permanent,25-34,Male,Secondary,2023,Married,2223,Yes
1108,Pakistan,Germany,Better Quality of Life,Permanent,25-34,Female,Bachelor's,2022,Single,270,Yes
1109,Sri Lanka,Japan,Permanent Residency,Permanent,55+,Female,Bachelor's,2014,Married,457,Yes
1110,India,Germany,Marriage/Spouse,Permanent,18-24,Female,Secondary,2002,Divorced,206,No
1111,India,New Zealand,Economic Hardship,Permanent,25-34,Female,Secondary,2021,Divorced,6648,Yes
1112,Sri Lanka,New Zealand,Marriage/Spouse,Permanent,25-34,Female,Secondary,2011,Married,1074,Yes
1113,Nepal,Qatar,Skilled Worker Visa,Work,45-54,Male,Secondary,2021,Single,457,Yes
1114,India,Italy,Family Reunification,Permanent,35-44,Male,Bachelor's,2012,Married,7278,Yes
1115,Sri Lanka,France,Higher Education,Permanent,35-44,Female,Primary,2025,Married,6941,No
1116,India,New Zealand,Better Quality of Life,Permanent,18-24,Male,Vocational/Technical,2014,Married,576,Yes
1117,Bangladesh,United States,Employment,Work,25-34,Male,Primary,2011,Divorced,505,Yes
1118,Pakistan,Kuwait,Employment,Work,35-44,Male,Master's,2019,Divorced,512,Yes
1119,Sri Lanka,New Zealand,Employment,Work,18-24,Female,Bachelor's,2015,Single,4681,Yes
1120,Nepal,UAE,Employment,Work,25-34,Male,Bachelor's,2017,Married,636,Yes
1121,Bangladesh,Norway,Skilled Worker Visa,Work,25-34,Male,PhD,2013,Married,657,Yes
1122,Bangladesh,United Kingdom,Skilled Worker Visa,Work,25-34,Male,Secondary,2022,Married,978,Yes
1123,Sri Lanka,UAE,Skilled Worker Visa,Work,25-34,Male,Bachelor's,2025,Single,1383,Yes
1124,Nepal,United Kingdom,Refugee/Asylum,Permanent,55+,Male,Secondary,2021,Divorced,2958,Yes
1125,India,Qatar,Employment,Work,25-34,Male,Vocational/Technical,2025,Married,1136,Yes
1126,Bangladesh,Oman,Employment,Work,25-34,Male,Vocational/Technical,2018,Married,207,Yes
1127,India,Germany,Skilled Worker Visa,Work,35-44,Female,Vocational/Technical,2010,Divorced,3094,Yes
1128,Pakistan,Canada,Employment,Work,25-34,Male,Bachelor's,2024,Single,1445,Yes
1129,Pakistan,Oman,Family Reunification,Permanent,45-54,Male,Vocational/Technical,2012,Divorced,1657,Yes
1130,Nepal,Japan,Employment,Work,25-34,Male,PhD,2018,Single,8180,Yes
1131,India,UAE,Business/Investment,Work,25-34,Male,Bachelor's,2015,Single,240,No
1132,Pakistan,United States,Employment,Work,25-34,Female,Secondary,2019,Divorced,1982,Yes
1133,Bangladesh,UAE,Employment,Work,25-34,Male,Bachelor's,2014,Divorced,1731,Yes
1134,Nepal,Malaysia,Skilled Worker Visa,Work,18-24,Female,Secondary,2023,Divorced,4842,Yes
1135,Bangladesh,Saudi Arabia,Economic Hardship,Permanent,25-34,Female,Master's,2022,Divorced,374,No
1136,Sri Lanka,Malaysia,Skilled Worker Visa,Work,18-24,Male,Bachelor's,2017,Married,395,Yes
1137,Bangladesh,Germany,Healthcare,Permanent,25-34,Female,Bachelor's,2003,Married,3366,Yes
1138,Bangladesh,Kuwait,Employment,Work,35-44,Female,Secondary,2024,Single,1368,No
1139,India,New Zealand,Higher Education,Permanent,25-34,Female,Bachelor's,2006,Married,2233,No
1140,Sri Lanka,United Kingdom,Skilled Worker Visa,Work,35-44,Female,Vocational/Technical,2014,Single,3653,No
1141,Sri Lanka,Italy,Skilled Worker Visa,Work,25-34,Female,Master's,2023,Single,309,Yes
1142,Pakistan,Italy,Skilled Worker Visa,Work,18-24,Male,Primary,2021,Married,463,No
1143,Pakistan,United Kingdom,Better Quality of Life,Permanent,25-34,Male,Secondary,2000,Married,475,Yes
1144,India,Australia,Employment,Work,35-44,Female,Bachelor's,2007,Single,545,Yes
1145,Pakistan,Malaysia,Employment,Work,25-34,Male,Vocational/Technical,2020,Single,2099,Yes
1146,Pakistan,Malaysia,Business/Investment,Work,45-54,Male,Secondary,2015,Divorced,1402,No
1147,Nepal,Canada,Marriage/Spouse,Permanent,25-34,Male,Bachelor's,2024,Married,2285,Yes
1148,Sri Lanka,Germany,Higher Education,Permanent,35-44,Female,Master's,2017,Divorced,1117,Yes
1149,Nepal,United States,Higher Education,Permanent,18-24,Male,Vocational/Technical,2022,Single,781,No
1150,Nepal,France,Higher Education,Permanent,35-44,Male,Secondary,2011,Divorced,6431,Yes
1151,India,Oman,Employment,Work,35-44,Male,Master's,2023,Single,2718,Yes
1152,Nepal,New Zealand,Refugee/Asylum,Permanent,18-24,Male,Vocational/Technical,2022,Divorced,3055,Yes
1153,Nepal,France,Employment,Work,45-54,Male,Master's,2025,Single,612,No
1154,Nepal,Italy,Higher Education,Permanent,25-34,Male,Vocational/Technical,2000,Married,684,No
1155,Sri Lanka,Australia,Higher Education,Permanent,45-54,Male,Bachelor's,2015,Married,1219,No
1156,Sri Lanka,United States,Refugee/Asylum,Permanent,25-34,Female,Secondary,2012,Divorced,217,Yes
1157,Bangladesh,UAE,Marriage/Spouse,Permanent,18-24,Male,Master's,2023,Divorced,3783,Yes
1158,Pakistan,South Korea,Political Instability,Permanent,35-44,Female,Secondary,2000,Married,915,Yes
1159,Sri Lanka,South Korea,Economic Hardship,Permanent,18-24,Male,Secondary,2020,Single,2818,Yes
1160,Nepal,Oman,Employment,Work,18-24,Male,Bachelor's,2011,Divorced,2247,Yes
1161,Nepal,South Korea,Refugee/Asylum,Permanent,25-34,Male,Vocational/Technical,2017,Single,1199,Yes
1162,Pakistan,Canada,Skilled Worker Visa,Work,25-34,Male,Secondary,2011,Married,252,No
1163,Bangladesh,South Korea,Family Reunification,Permanent,45-54,Male,Bachelor's,2014,Married,11451,Yes
1164,Bangladesh,Norway,Higher Education,Permanent,25-34,Male,Secondary,2010,Married,2959,No
1165,India,New Zealand,Better Quality of Life,Permanent,18-24,Male,Secondary,2007,Single,1043,No
1166,India,Saudi Arabia,Family Reunification,Permanent,25-34,Male,Secondary,2025,Married,434,Yes
1167,Sri Lanka,UAE,Employment,Work,55+,Male,Master's,2020,Divorced,565,Yes
1168,India,UAE,Employment,Work,35-44,Male,Primary,2024,Married,795,Yes
1169,Nepal,New Zealand,Marriage/Spouse,Permanent,25-34,Male,Secondary,2011,Single,582,Yes
1170,Nepal,Germany,Family Reunification,Permanent,55+,Male,Primary,2006,Married,458,Yes
